idx	french
0	Au bout de ce couloir, dans une alcôve comme une autre, tu vois un livre.
1	Il repose sur un mince rebord. Il n'a rien sur la couverture.
2	Une illusion. Méfie-toi.
3	Personne ne laisserait un livre comme ça. Pas sans qu'il soit volé très vite.
4	C'est vrai. N'importe qui doté d'un demi-cerveau prendrait un vieux livre bizarre comme ça et le vendrait à un collectionneur, si l'occasion se présentait.
5	(Prendre le livre.)
6	J'en ai fini ici.
7	« D'accord. »
8	« N'y écris pas ton nom ni rien. »
9	« J'ai entendu parler d'un type qui a trouvé un livre une fois. Là-haut à Muletown. »
10	« Sur la couverture c'était écrit "Gens Célèbres", et à l'intérieur il n'y avait qu'une liste de... enfin, de gens célèbres. Des figures historiques, ou peu importe. »
11	« Alors ce type a trouvé ça drôle de gribouiller son propre nom parmi eux. »
12	« Et <shake>pouf</shake> ! »
13	« Il s'est transformé en <b>plumes</b> ! Comme une grande collection de plumes d'un noir pur. Elles se sont mises à flotter au loin dans le vent, le long de la rivière. »
14	« Tout le monde n'a parlé que de ça pendant des semaines. »
15	« C'est une... histoire au hasard. »
16	« Tu ne rends pas ça moins flippant, Snell. »
17	« On dirait qu'il a eu ce qu'il voulait. »
18	Il te lâche un gloussement. « Désolé, ça m'est juste venu à l'esprit. »
19	Il te lâche un gloussement. « Je sais. »
20	Il te lâche un gloussement. « Oh que oui. »
21	Puis le gobelin fronce les sourcils, levant les yeux vers le plafond.
22	« J'arrive pas à me souvenir du nom du type, cela dit. »
23	De mauvais augure.
24	Une malédiction ésotérique, clairement.
25	UN HOMME. PERDU DANS L'HISTOIRE.
26	« Bref. Qu'est-ce que tu faisais ? »
27	Tu ouvres le tome et t'apprêtes avec ta plume.
28	Tu l'ouvres sur une page.
29	N'importe quelle page. Tu en feuillettes plusieurs.
30	Elles sont toutes vides.
31	« Tu sais ce que tu fais, Clerc ? »
32	(Continuer de feuilleter.)
33	(S'arrêter.)
34	Tu le fais.
35	Tu continues de feuilleter. Jusqu'à ce que...
36	Tu vois du texte sur une page.
37	Il dit, dans une écriture nette et posée : « Quel TOME désires-tu ? »
38	« Hein... »
39	« Ouais, c'est maudit. »
40	Clairement, c'est ésotérique.
41	Tu sors une plume.
42	Tu te souviens d'un certain nombre de tomes anciens, de livres, de lettres et de diverses œuvres littéraires que tu pourrais demander.
43	Tu t'efforces de te rappeler les noms des divers livres, lettres et œuvres littéraires que tu as vus au fil de ton « éducation ».
44	(Essayer d'écrire « Chants Norvikiens, du Patriarche Pilli ».)
45	(Ne pas le faire.)
46	Le livre te fixe. Autant qu'un livre le peut.
47	Tes lettres s'effacent aussitôt de la page.
48	Mais c'est remplacé par un autre message, qui semble se former à partir de la même encre que tu as utilisée pour écrire.
49	« Le Patriarche Pilli ? Ses livres se trouvent PARTOUT. Mais la copie la plus proche ? »
50	« Dans la Maison-Liche locale. »
51	« Parmi tes possessions. »
52	Puis le texte disparaît vite.
53	« Euh... »
54	« C'est génial ? »
55	« S'il peut localiser n'importe quel livre, alors c'est genre... très, très utile. »
56	Un glorieux artefact ésotérique.
57	Sers-t'en.
58	Tu t'apprêtes avec ta plume.
59	« Un Manifeste Aveugle, des Hédonistes. »
