idx	french
0	Tu passes derrière le comptoir.
1	Il y a des compartiments remplis de boîtes en fer-blanc ruinées. Au fond, un ensemble compliqué de tubes et de tuyaux se combinant en une sorte de machine à thé.
2	Un percolateur. C'est pas souvent qu'on en voit de nos jours.
3	Qu'une pièce de machinerie aussi belle (et coûteuse !) se brise. Quel dommage.
4	La machine attire ton attention. Fouille-la.
5	Les machines. Très compliquées.
6	Tu la comprends, cependant. Tout ceci t'est facile.
7	Alors, c'est ici qu'ils vendent le thé. Juste là.
8	Ça vaut la peine de fouiller ici ?
9	Oui. Maintenant fouille.
10	Oui. Fais-le.
11	« Je prendrai une pâtisserie avec de la crème, s'il vous plaît », dit Snell d'un ton nasillard.
12	Il se penche par-dessus le comptoir. « Oh, à moitié crème, en fait. Mon petit ventre est sensible aujourd'hui. »
13	Il se moque des humains et de leur amour du lait.
14	Pas la meilleure blague, mais il t'appréciera davantage si tu joues le jeu.
15	Oh, le gobelin plaisante !
16	Le moment de faire une blague différente, <i>meilleure</i>. Ça, ce sera fluide.
17	« Je ne travaille pas ici, Snell. »
18	« Bien vu. »
19	(Répondre d'un ton snob.) « Nous ne servons que du lait d'avoine issu des Collines, <i>monsieur</i>. »
20	« Mais tu es un gobelin. Tu ne veux pas plutôt du thé <i>vert</i> ? »
21	« Ouais- je », marmonne-t-il.
22	Il envisage de t'expliquer sa blague.
23	Cette réponse le surprend. Il te prenait pour un barista ?
24	Il soupire. « Vérifie juste ce fichu comptoir. »
25	« Merci. Vois si tu trouves quelque chose derrière le comptoir. »
26	Le gobelin te regarde, puis regarde le comptoir.
27	Puis te regarde de nouveau.
28	Ça s'appelle un <i>double regard</i>. Beau boulot.
29	Regarde son visage. Choc total.
30	« Bien vu, Clerc. »
31	Il agite sa griffe. « Vérifie le comptoir. »
32	Un bref instant, il t'a réellement trouvé drôle. Bon sang.
33	Le gobelin rit.
34	Un rire feint.
35	« C'est drôle ! Parce que je suis vert. »
36	Son sourire retombe. « Vérifie ce fichu comptoir. »
37	Susceptible.
38	(Regarder la surface.)
39	(Examiner la machine.)
40	(Regarder dans les boîtes calcinées.)
41	E-(Cesser de fouiller autour du comptoir.)
42	Il y a une planche de bois recouvrant la base de pierre du comptoir.
43	Plutôt du charbon de bois, à ce stade.
44	C'était jadis du Brachen finement poncé. Maintenant ruiné.
45	Mais la pierre tient toujours. Solide. Inébranlable.
46	Tuyaux et leviers fondus. Verre brisé.
47	Ce fut jadis un bel ouvrage d'ingénierie.
48	(Vérifier les tuyaux.)
49	M-C'est tout.
50	Un métal quelconque.
51	Des tuyaux de cuivre. Coûteux. Jadis brillants, maintenant calcinés et tordus.
52	Faits à la main. Tu peux voir les marques d'un marteau arrondi partout dessus. Beaucoup de soin est passé dans cette machine.
53	C'est ici qu'on met les feuilles de thé.
54	En te penchant, tu ne vois pas grand-chose au-delà d'une bouillie brûlée à travers les fentes.
55	Mais tu sens bien quelque chose.
56	Ça sent <i>affreusement</i> mauvais.
57	Ton estomac se retourne.
58	Une odeur intense.
59	Pourquoi ça sent comme ça ?
60	(Se pencher. Plus près.)
61	Suis-je obligé ?
62	(S'éloigner de la chambre.)
63	Elle contient quelque chose d'immonde.
64	Tu ne sais pas quoi.
65	Éloigne-toi.
66	Tu dois t'approcher. <i>Connaître</i> l'odeur.
67	Allez. N'en fais rien.
68	Bonne idée. Peut-être peux-tu identifier la flore contenue... ou peut-être la faune ?
69	(Inhaler l'horrible odeur.)
70	Tu sens la dégoûtante bouillie brûlée à travers les interstices de ton heaume.
71	Ça sent la dégoûtante bouillie brûlée.
