idx	french
0	Tu vois une étrange torche luisante, un peu plus loin dans le couloir.
1	Mauvais pressentiment.
2	Étrange. Quelque chose cloche ici.
3	Une torche ! Va la ramasser, quelqu'un pourrait être en danger.
4	Ouais, <i>toi</i> !
5	Prudence. Vraiment prudent...
6	« Clerc ? »
7	« Meek sentir... mauvais ici. Très mauvais. »
8	Chercher... des pièges ?
9	Les torches magiques flottantes sont-elles courantes ? J'ai l'impression que oui.
10	C'est de mauvais augure. Non ?
11	Peut-être que je vais juste... aller ailleurs.
12	« C'est ça. De mauvais augure. »
13	« Quelque chose... cloche ! Meek pas voir, mais Meek sentir ! »
14	« Maître prudent ! »
15	Elles le sont.
16	Cependant, ceci ne flotte manifestement pas tout seul.
17	Regarde de plus près.
18	Ne t'inquiète pas des simples objets magiques ésotériques. Concentre-toi sur toi-même plutôt.
19	Oui. Ça l'est.
20	Qu'est-ce que tu veux dire ?
21	Pourquoi y a-t-il aussi tout un tas d'autres trucs qui flottent dans l'air ?
22	C'est vrai.
23	Tu dois regarder plus loin. De plus près.
24	Hm. Tu es peut-être juste un peu paranoïaque.
25	Il n'y a rien de mal à s'arrêter pour profiter de la vue.
26	Tu regardes le couloir, de très près.
27	Puis tu regardes les murs.
28	Et puis le sol.
29	Attends... pourquoi n'y a-t-il pas de saleté sur le sol ?
30	Hm ?
31	Il n'y a absolument aucune poussière ni crasse ni petits cailloux sur le sol ici. Juste devant moi.
32	Oh.
33	Et il y a tout un tas de trucs qui flottent dans l'air devant moi. Des trucs qui ont l'air d'être lentement dissous par quelque agent puissant.
34	C'est un mauvais signe. En fait, ça ressemble vraiment à...
35	Une ligne parfaitement droite, après laquelle le sol du donjon est propre ?
36	C'est clairement un...
37	« ...Un Cube ! » (Bondir en arrière.)
38	Un mur parfaitement plat de gel parfaitement translucide se dresse devant toi.
39	Le gobelin recule en trébuchant quand il réalise ce que tu dis.
40	« Oh par les dieux...! »
41	« C'était <i>juste</i>... »
42	Hein.
43	Et puis le sol...
44	Oui...?
45	Et...
46	Et...?
47	Tu ne vois rien.
48	Vraiment ?
49	Oui.
50	Oui, au sens où je vois bien quelque chose, ou oui au sens où oui, je ne vois vraiment rien ?
51	Tu ne vois rien. Le couloir est sûr.
52	Aucun signe de dalles-pièges au sol. Ni de trous à fléchettes empoisonnées.
53	Ni de lames géantes qui s'abattent du plafond.
54	Ce n'est qu'un couloir normal.
55	« Sérieusement, qu'est-ce que tu fais ? »
