idx	french
0	Une conserve de fer sombre à forme d'homme est assise, seule, sur les marches du temple.
1	Son visage dérobé au regard, une hache sanglée dans le dos.
2	Hache épaisse. Lourde.
3	Voilà un homme, un vrai. Un héros.
4	Son armure est vide.
5	Tout comme son coeur.
6	« Citoyen. »
7	« J'ai quelques questions, bon chevalier. »
8	« Êtes-vous vivant ? »
9	Sa tête casquée penche vers le sol, légèrement.
10	Est-il... endormi ?
11	Il n'est pas vraiment ici.
12	Contente-toi de le fixer.
13	« Ohé ? »
14	« Tout va bien, citoyen ? »
15	Aucune réponse.
16	Attends.
17	« Ohé-é ? »
18	« Mon bon chevalier, dites quelque chose ! »
19	Un raclement métallique t'emplit les oreilles.
20	Le chevalier bouge, à peine. Sa tête se tourne.
21	Oh, putain.
22	Dans les fentes de son heaume, tu aperçois le faible miroitement d'un visage osseux.
23	« Votre... nom. »
24	« Soldat. »
25	Sa voix résonne dans la chambre béante.
26	L'effroi pur.
27	C'est un grand guerrier. Traite-le avec respect.
28	« Qu'est-ce qui ne va pas chez vous ? »
29	« Je suis Ragn. »
30	« Clerc arcanique. À votre service, mon seigneur. »
31	« Je ne suis pas un soldat. »
32	Il ne répond pas à ta requête.
33	Tu entends le chevalier serrer son gantelet de fer.
34	« Non. Vous l'êtes. »
35	Quoi, il veut se battre ?
36	La tête du chevalier retombe une fois de plus.
37	« Dites ce que vous avez à dire, soldat. »
38	Le type-conserve-de-fer-en-armure ne prend pas acte de ta présence.
39	Il est prêt à en entendre davantage, tes questions.
40	« Qui êtes-vous ? »
41	« Pourquoi traînez-vous ici, chevalier ? »
42	« Qui servez-vous ? »
43	« Que savez-vous du salon de thé ? »
44	« C'est quoi, ce bazar ? » (Désigner les urnes.)
45	E-« Citoyen. »
46	Il reste silencieux un moment.
47	Tu sens une brise légère traverser ton armure.
48	Un courant d'air ? Il y a peut-être une porte secrète quelque part par ici.
49	Non, attends, ça vient sûrement de la trappe à thé.
50	« Le Canard. »
51	« Pardon ? »
52	« Je suis Le Canard. »
53	C'est dingue.
54	Le nom d'un homme ne se discute pas.
55	Coin.
56	Épouvantable.
57	(Hocher la tête.) « Vous devriez être fier de votre nom. »
58	« Cela ne vous va pas du tout. »
59	« Coin ! » (Rire.)
60	Le chevalier ne répond pas.
61	Ce nom qu'il porte est un nom de code, à coup sûr.
62	Il ne souhaite pas en dire davantage.
63	« Non. »
64	« Je vois. Je cherche le seigneur Gorm. L'avez-vous vu ? »
65	« Me mentez-vous ? »
66	« Zut. J'espérais que vous le seriez. »
67	Une vérité.
68	Le chevalier ne bouge pas.
69	« <b>Non.</b> »
70	« C'est ce que dirait un menteur. »
71	« Bien. Parfait. Je vous crois. »
72	« Cessez cet interrogatoire. »
73	Tu l'agaces.
74	Ouais. Continue, peut-être qu'il te bottera le train.
75	Tu t'avances dans une situation dangereuse.
76	En fait, tu y es déjà. Alors... arrête.
77	« Désolé. »
78	« C'est mon travail. Je ne fais que mon travail. »
79	« Laissez-moi vous demander autre chose. »
80	C'EST CE QUE MON PERSONNAGE FERAIT.
81	Sa tête casquée se tourne, face à la tienne.
82	« Désolé. » (Parler d'une voix haut perchée.)
83	« J'ai quelques autres questions. » (Parler d'une voix un peu moins haut perchée.)
84	Pour quelque raison que ce soit, il ne semble pas t'être hostile. Même lorsqu'il y a clairement une intention meurtrière dans son âme.
85	Est-ce qu'on lui aurait, genre, ordonné de ne pas te faire de mal ? Sinon, pourquoi ne t'aurait-il pas donné une petite tape affectueuse à ce stade ?
86	Une petite tape affectueuse ? Quel langage dégoûtant.
87	Ça s'appelle un corps-à-corps viril ! Ou un fisting !
88	N'appelle pas ça comme ça. Je t'en prie.
89	« Les cryptes. »
90	Il n'a pas l'air trop fâché que tu prennes la clé. Étrange.
91	« J'ai la clé. »
92	« Vous êtes trop faible pour cela. »
93	De quel droit te jugerait-il ?
94	L'homme a raison. Tu dois d'abord retrouver ta pleine force.
95	La Cité d'En Bas est dangereuse. Tu devrais veiller à te préparer convenablement avant d'y descendre.
96	Peut-être emporter davantage de sorts. Peut-être t'assurer de récupérer assez pour être de nouveau capable de lancer des sorts de rang supérieur.
97	Il est gênant que tu n'aies pas déjà retrouvé ton ancien état de maîtrise ésotérique.
98	Il ne répond pas pendant un moment.
99	Puis il te lance simplement la clé.
100	Il reconnaît ta force.
101	Pourquoi ? Il est clairement plus fort que toi. Il aurait pu se contenter de refuser.
102	« La Cité d'En Bas... elle est les ténèbres incarnées. »
103	« N'y avancez pas sans prudence. »
104	Toi, jamais.
105	Un avertissement de la part de quelqu'un que les âges accablent.
106	Écoute l'appel, d'AU-DELÀ de la tombe.
107	Le chevalier reste parfaitement immobile et ne répond pas à ta question.
108	« Allez. Je ne le dirai à personne. »
109	« Je vous trouve extraordinaire, mon bon chevalier. »
110	« Compris. » (La prendre.)
111	Cette créature ne nourrit aucune rancune, et pourtant son maintien creux nargue tes sens.
112	Tu te sens illégitime auprès de cet homme. Tu dois apprendre de sa voie.
113	Tenter d'avoir une franche discussion sur la masculinité.
114	BorgoAnnoyed-Vous l'avez agacé.
115	(Laisser tomber.)
116	Le chevalier reste immobile.
117	Respire-t-il seulement ?
118	Pas de souffle. Rien que la mort.
119	Il reste là, assis, prêt pour une bonne conversation.
120	Tu perçois quelque chose. Une lueur fugace dans l'obscurité de son heaume.
121	La divinité. Il y a de la lumière en cet homme.
122	(Le fixer.)
123	Le chevalier se déplace légèrement, son armure raclant contre la roche.
124	(Respirer lourdement.)
125	Le chevalier se tourne pour te regarder à travers son heaume.
126	Encore un peu.
127	(Attendre encore un moment.)
128	« Soldat. Votre présence n'est pas désirée. »
129	« Présentez votre requête, puis quittez ces lieux sacrés. »
130	Il répondra à tes questions à présent. D'une manière ou d'une autre.
131	« Êtes-vous un clerc ? »
132	« Connaissez-vous la magie ? »
133	« Pouvez-vous m'enseigner la magie ? »
134	M-« Comment devient-on un véritable guerrier ? »
135	« Non », dit-il. « Je suis un guerrier. »
136	« Oui. »
137	« Non, je... »
138	Il marmonne pour lui-même.
139	Oh ?
140	« Je n'ai pas de temps pour cela. »
141	Le chevalier tire lentement un parchemin de son sac.
142	Il te le lance après un moment de délibération.
143	« Un sort doté de puissance. »
144	« Mémorisez-le, soldat. »
145	« C'est déjà fait. » (Refermer le parchemin de sort.)
146	Il relève la tête. L'obscurité dans son heaume se fixe sur toi.
147	« Non, soldat. <b>Mémorisez</b>-le. »
148	« Je vous l'ai dit, c'est déjà fait. » (Se pointer la tempe.) « Je suis rapide. »
149	« Vous... »
150	« D'après ce que je comprends, le Clerc que voici est une sorte de monstre lorsqu'il est question de magie. »
151	Le chevalier noir hoche la tête, puis baisse le front.
152	Tu as gagné son respect. Bien.
153	Ta faculté de mémoriser des sorts instantanément est un talent prodigieux. Il devrait être impressionné.
154	« Un guerrier. »
155	Le chevalier pose un gantelet de fer sur son genou et se penche en avant.
156	Un râle chuchoté s'échappe des fentes de son heaume.
157	« <b>SERVIR</b>. »
158	« <b>Jusqu'à ce que la Côte s'effondre sur elle-même. Jusqu'à ce que JOR déchire le voile et que chaque dieu lacère et déchiquette notre réalité en lambeaux.</b> »
159	« Servez bien. Servez loyalement. »
160	« Voilà ce que fait un véritable guerrier. Quoi qu'il advienne. »
161	Le râle cesse.
