idx	prefix	english
0		Ôst is standing at a street corner. Behind him, a large crate of milk bottles. 
1		"Cleric leave. Begone!" 
2		"Cleric get hands off <shake>MILK</shake>!" 
3		(Step away from the milk crate.) "Okay..." 
4		"Now leave! I do not speak with Cleric!" 
5		"Go Cleric. I do not speak with you." 
6		"Is this the <i>Milk Run</i>?" 
7		"You're just hanging out down here?" 
8		"Who's funding this operation?" 
9		E-"Okay. Bye." 
10		"...Yes." 
11		"Can I help?" 
12		"Cool." 
13		"No." 
14		Try harder. You can do this! 
15		"Please?" 
16		"Okay." 
17		He growls. 
18		In an adorable way. 
19		You see him stop his growling. He thinks to himself. Something. 
20		Ah. He's got a plan... 
21		Hm? 
22		A scheme...? 
23		But then the kobold turns around and starts picking up bottles. 
24		"Hm? Wait. You already take!" 
25		The kobold roots around in the crate, and then glances at you with a deep unflinching frown (that looks exactly like all his other expressions). 
26		"You TAKE milk. That is not working with MILK RUN!" 
27		Oops. 
28		"Since you TAKE, you will have to WORK." 
29		Oh? 
30		He hands them to you, one by one. 
31		"You are now milk delivery human. You are on the MILK RUN." 
32		A quest? 
33		"What, really?!" 
34		"Oh. Cool." 
35		"I'm gonna be so <b>rich</b>." 
36		"Human listen up." 
37		"Each bottle is special. Very expensive." 
38		"You must deliver it to rich people. Make them buy." 
39		"The price is... four thousand. Crown." 
40		"That's ridiculously expensive." 
41		"Oh... I see." 
42		"It is good milk." 
43		"Yes." 
44		"After you sell them all, you come to me. On election day. That is when we count money." 
45		"Each cost... two thousand crowns." 
46		"TWO THOUSAND?" 
47		"For ONE bottle of milk?!" 
48		"Yes!" 
49		"You sell all, you get twenty thousand crown. That is math." 
50		That <i>is</i> math. 
51		"On election day, you pay me ten thousand crown. That is recoup." 
52		This is ridiculous. 
53		"...Recoup?" 
54		(Just stare at the kobold.) 
55		"Is cleric listening? Is cleric awake?!" 
56		"<i>Recoup</i>. I get ten. You get ten." 
57		"That is recoup." 
58		"What happens if I don't sell them all?" 
59		"Who do I sell it to?" 
60		"Is this a scam?" 
61		"Alright. Let's do it." (Do it.) 
62		"No. I don't want to do this." (Don't fall for it.) 
63		"Expensive milk. Good milk. If Cleric cannot sell, Cleric pays. Ten thousand." 
64		"Stupid human. Rich human. Milk lover. Cow fucker." 
65		"Find and sell. Easy. Even Cleric can do." 
66		"Good." 
67		YES! 
68		Well, it's a scam, but... 
69		Eh. Might be worth it in the end. 
70		Just drink the milk. 
71		"Cleric come talk on election day." 
72		"Bring money." 
73		"Now go. Begone. Good bye." 
74		"You do whatever you want, Cleric. But please- don't even think about asking me to buy one." 
75		You should probably try to find some humans! They <i>love</i> milk. 
76		He takes the bottles. 
77		"Now go!" 
78		E-"What a scam." 
79		"Yes. Now go." 
80		"Go away. I will not talk to Cleric." 
81		"Seems like he's not in the mood to talk." 
82		"Obvious, yes, <i>Halfway thrall</i>." 
83		That's a big word for a little green guy. 
84		Snell glances at you, then shrugs. 
85		"No! Or..." 
86		"Do as wish. If cleric does, cleric will pay." 
87		"Either way, I get rich." 
88		Maybe not then. 
89		But it is milk. It is delicious. 
90		"I am." 
91		"I get from producer. Then transport. Then sell." 
92		"It is Milk Run. It is big profit." 
93		"So you're-" 
94		"Then I-" 
95		"But it's-" 
96		"No more question." 
97		"I am busy!" 
98		So rude. 
99		Eh. Hustler's gotta hustle. 
100		"No. Now go away." 
101		You are not going to be able to sell any of this milk. 
102		Simply drink it. You will be your own customer. 
103		You've gotten scammed. 
104		Now live with it. 
105		Well, uh... there's probably <i>some</i> way for you to sell these. Right? 
106		"Come speak after election. Money will be collected then!" 
