idx	prefix	english
0		"Hey." 
1		The dwarf mutters his greeting with the impact of a growing flower. 
2		He's afraid of you. Dominate him. 
3		You get the vibe here. You know. The vibe. 
4		The kind of 'you could steal his most precious belongings and he'd do nothing about it'-type vibe. 
5		HE IS GOOD. 
6		THE GOODEST YOU'VE ENCOUNTERED IN MONTHS. 
7		"You and me should be friends." 
8		"You sure fit a lot of dwarves into this tiny apartment." 
9		E-"That's all for now. Thank you, citizen." 
10		"Yeah. It's a lot." 
11		"It should only be... five or so? How many are here now..." 
12		"Ett, tvâ, tre..." 
13		He looks around and taps his fingers to count. 
14		"...fyra, fem, sex..." 
15		"Yeah, maybe a few too many right now. But it's just until the election. So it's fine." 
16		"Oh, this is your apartment?" 
17		"Thank you for your sacrifice to the cause." 
18		"Is it really okay to keep it this cramped?" 
19		"Yes. I'll have to... clean up afterwards." 
20		"Uh. Okay." 
21		"I mean, yes. Any time." 
22		"The machine is a bit much... but printing is important to win the election." 
23		"So it's worth it." 
24		You hear the tone of his voice adding on a 'I hope' at the end. 
25		He appears uncomfortable with the current arrangements. 
26		Alfoz probably convinced him, hah. 
27		That was easy. 
28		If only everyone was this agreeable. 
29		Now push it. He can serve you well. 
30		"Did I say friends? I meant more like a... master-slave type dynamic." 
31		(Give him a fist bump.) 
32		He frowns. 
33		The first frown in his life. 
34		"No, I don't like that." 
35		"Too bad. You've already agreed to it." 
36		"Fair. I don't like it either. But what can you do?" 
37		"Yeah, you're right. Let's not." 
38		"No, I have not." 
39		"You can- you can not." 
40		He nods. 
41		He slowly joins your fist with his own. 
42		"The deal is sealed. You are now mine." 
43		"Thanks, brother!" 
44		(Nod.) 
45		"Yeah." 
46		He nods back. 
47		"Okay." 
48		"I have some other questions. Friend." 
49		He looks around. Then he nods. 
50		You've confused him. 
51		You've outsmarted him. 
52		You've dominated him. 
53		You're running gods damn circles around him. 
54		"Nothing, really." 
55		He grunts and gestures towards Alfoz. "Ask the Foreman." 
56		(Yell.) "Hey, Alfoz! Simii says you know something incriminating about the tea shop!" 
57		"I'll go do that. Thanks." 
58		"No!" 
59		"I did not, Foreman!" 
60		"Yeah, he did! Simii's a snitch!" 
61		"Ah. Right." 
62		"What are you yelling about?" 
63		"Stop messing about." 
64		"Exactly, Simii. Stop messing around." 
65		"Sorry, my bad!" 
66		"Alfoz sure is a bit sensitive, isn't he?" (Wink at Simii.) 
67		"Uh- I- I-" 
68		"Uh, I-" 
69		"Apologies, Foreman!" 
70		"Uh- I..." 
71		"No. He's not." 
72		He nods, <i>nervously</i>. 
73		"Election?" 
74		"Workers' Party." 
75		"Interesting choice. Why?" 
76		"Thanks for sharing." 
77		"I don't really care. I just ask so I can tell you about my political opinions." 
78		"I work for them." 
79		"Good reason." 
80		"Bad reason." 
81		"That's a mediocre reason." 
82		"Oh." 
83		"You're welcome." 
84		"You're not going to ask me what I'm voting for?" 
85		"I'm actually not voting, because I am an apolitical entity." 
86		He looks at you for a long while. His rocky endless wasteland of a face does not move an inch. 
87		Then he opens his mouth and mutters out... 
88		"Okay?" 
89		"<i>Neutral</i>." 
90		"Ah." He nods. 
91		"Completely without opinions. Of any kind." 
92		"I'm voting for the Party of Norvik." 
93		"Freestriders, for me." 
94		"I, too, am voting for the greens." 
95	DC11 int-	"I'm voting for myself. Because I'm a great wizard, and I should be in charge." 
96	DC17 con-	(Mutter.) "Agrarian." 
97		This dwarf. Is he made out of stone or ethereal silk? 
98		That face. That damn stern face doesn't give you anything. Love or hate. 
99		This 'Simii'... he rivals the eldritch horrors of the Gate Era in his ineffable form. 
