idx	french
0	Au bout du chemin d'égout, tu tombes sur un poêle.
1	Autour, quelques caisses, et ce qui ressemble à un couchage en lambeaux.
2	C'est un campement.
3	Qui campe dans les égouts ?
4	On a affaire à un gros rat d'égout ici.
5	Assez gros pour camper et cuisiner.
6	Le gobelin regarde autour du tunnel sombre et humide.
7	« Je n'aime pas ça du tout. »
8	(Tâter le poêle.)
9	(Regarder autour.)
10	C'est quoi, ces caisses ?
11	Il n'est pas entièrement froid.
12	« Récent, hein ? »
13	« Non, Clerc. »
14	« Les égouts de Norvik sont notoirement dangereux. »
15	« Aucune personne saine d'esprit ne se reposerait ici. Ni ne survivrait. »
16	Quelques rats détalant dans les coins. Rien d'autre.
17	Quelques rats détalant- et un mouvement dans l'eau.
18	Reste sur tes gardes.
19	En te penchant, tu vois des symboles hachurés dans les coins du bois.
20	<i>HWBT</i>.
21	« Hein. »
22	Le gobelin les inspecte aussi.
23	« On a eu des cargaisons qui disparaissaient sur Waterlane, par périodes. »
24	« Maintenant je sais où elles finissent. » Il tapote la caisse. « Des épices. »
25	Il en tapote une autre. « Des pommes de terre. »
26	Oui. Ce sont des caisses de nourriture.
27	« Juste de la nourriture. Avec le temps, ça a fait beaucoup. »
28	Oui. Ces caisses contiennent de la nourriture.
29	Un coup d'œil révèle que la plupart sont vides. Celui qui est ici en bas siphonne clairement les ressources de la Tribu du Pont Halfway.
30	Où trouveraient-ils ces caisses ?
31	Une question stupide.
32	Manifestement, ce sont les rats qui mangent ça.
33	De par la nature ésotérique de la Cité d'En Bas, cette voie d'égout a dû les transformer en criminels impitoyablement intelligents.
34	Des criminels déterminés à s'emparer de cette cité qui s'effondre et qui est la tienne.
35	Manifestement, c'est une sorte de repaire.
36	Ces pauvres gens. Ils doivent mourir de faim pour avoir besoin d'autant de subsistance.
37	Ton cou picote.
38	Ce doit être à cause de ta faim profonde et sans fin.
39	Plusieurs des caisses sont marquées « HWBT ».
40	Quelqu'un vit dans les égouts ? ...Ici ?
41	Pourquoi tant de nourriture ?
42	Voir toute cette nourriture me donne faim.
43	Hm. Qu'est-ce que je fais de tout ça ?
44	Clairement.
45	Ils apprécient probablement la su-clusion.
46	La su-clusion ?
47	Oui. C'est quand un homme se cherche seul, plutôt qu'ensemble avec d'autres êtres inférieurs.
48	Non. C'est- toi- ils-
49	C'est la <i>ré</i>-clusion.
50	Non. Tu te trompes.
51	C'est la <i>su</i>-clusion.
52	Comme <i>su</i>-cculent. Ou <i>su</i>-ccès.
53	Tu sais quoi. Bien sûr. Pourquoi pas.
54	Ils apprécient probablement la réclusion.
55	Ils doivent nourrir beaucoup de monde.
56	Ou environ une seule grande créature.
57	Comme un Loxorii, ou un Minotaure.
58	Naturellement.
59	Vu la dernière fois que tu as eu un repas décent, c'était...
60	Non.
61	Ça ne se peut pas.
62	Ça fait si longtemps, hein ?
63	Oui.
64	Ça remonte à plus d'une semaine à ce stade.
65	Oh par les dieux. Il y a si longtemps ?
66	Étonnamment, tu arrives à te tenir debout. C'est honnêtement impressionnant.
67	Un exploit démontrant l'esprit indomptable de l'homme.
68	Tu roules, comme on dit, <i>sur les vapeurs</i>.
69	Qui sait ? Ce sont les affaires des Halfways.
70	Tu devrais signaler la perte de ces caisses, à coup sûr.
71	La HWBT l'apprécierait.
72	Un <i>chasseur</i>.
73	<i>Approche en rampant</i>.
74	<i>JUSTE DERRIÈRE</i>.
75	<i>TA CHAIR MÊME</i>.
76	« J'essaie de coincer ce voleur depuis un moment. Je me disais que c'était un truc organisé. »
77	« Et vu la taille de ce butin... ça doit l'être. »
78	« Et tu n'as jamais pensé à vérifier les égouts ? »
79	« Pourquoi de la nourriture ? »
80	« Ça me donne faim. »
81	« Alors que proposes-tu ? On monte la garde et on voit s'ils reviennent ? »
82	« Honnêtement ? Tout ça me file juste la chair de poule. »
