idx	prefix	english
0		You stand before a wooden board, covered in sketches of various people. 
1		Each of them connected via long red threads. 
2		"What's this, Snell?" 
3		(Look closer at the sketches.) 
4		E-Interesting. 
5		"Hm?" He looks over to you from across the apartment. 
6		"Ah, yeah. <i>Project visualizer</i>." 
7		"Helps me keep track of jobs. You can check it out if you want." 
8		"I haven't done much other than a basic outline on the tea shop yet. I've been busy with all this running around." 
9		"Looks like... a TON of work." 
10		"You're good at this, Snell." 
11		"It's messy." 
12		"It's not really." 
13		"Haven't had that much downtime yet." 
14		"...Thanks." 
15		"It's what I do." 
16		"I know." 
17		"Like I said. It's a basic outline. I haven't had that much downtime yet." 
18		"Once we're finished, I'll make sure to compile it into a proper report for the Old Lady." 
19		You see several faces you recognize and some you don't. 
20		A bird-man with a black and white pattern. Along with the note, 'TEA SHOP OWNER.' 
21		A bulky merman with the text, 'RIVAL? NO, UNAMBITIOUS.' 
22		A stout-looking dwarf in uniform with a hammer symbol in the corner. 'PATRON?' 
23		A stylish orc with a Freestrider heart symbol in the corner. 'COMPLETELY UNAFFILIATED. SUSPICIOUS.' 
24		A pale man holding a skull. 'NO MOTIVE.' 
25		A human with a fancy beard and a fish symbol in the corner. 'SUPPRESSING INFO. BEWARE.' 
26		Then finally, you look over the central piece. The beautiful rendition of Lady Sageleaf herself. 
27		The sketch is wonderful. A depiction of love. 
28		His devotion is clear in this art-piece. 
29		Her note reads, 'ENEMIES? SPIES? CITY CONSPIRACY?' 
