idx	french
0	Tu te tiens devant un panneau de bois, couvert de croquis de diverses personnes.
1	Chacune d'elles reliée par de longs fils rouges.
2	« C'est quoi ça, Snell ? »
3	(Regarder les croquis de plus près.)
4	E-Intéressant.
5	« Hm ? » Il te regarde depuis l'autre bout de l'appartement.
6	« Ah, ouais. <i>Visualiseur de projet</i>. »
7	« Ça m'aide à suivre les boulots. Tu peux y jeter un œil si tu veux. »
8	« J'ai pas fait grand-chose d'autre qu'une ébauche de base sur le salon de thé pour l'instant. J'ai été occupé à courir partout. »
9	« On dirait... un TAS de boulot. »
10	« T'es doué pour ça, Snell. »
11	« C'est le bazar. »
12	« Pas vraiment. »
13	« J'ai pas encore eu beaucoup de temps mort. »
14	« ...Merci. »
15	« C'est mon boulot. »
16	« Je sais. »
17	« Comme je l'ai dit. C'est une ébauche de base. J'ai pas encore eu beaucoup de temps mort. »
18	« Une fois qu'on aura fini, je veillerai à tout compiler en un rapport en bonne et due forme pour la Vieille Dame. »
19	Tu vois plusieurs visages que tu reconnais et d'autres que non.
20	Un homme-oiseau au motif noir et blanc. Avec la note « PROPRIÉTAIRE DU SALON DE THÉ ».
21	Un triton massif avec le texte « RIVAL ? NON, SANS AMBITION. »
22	Un nain à l'air trapu en uniforme, avec un symbole de marteau dans le coin. « MÉCÈNE ? »
23	Un orc stylé avec un symbole de cœur errant dans le coin. « ENTIÈREMENT NON AFFILIÉ. SUSPECT. »
24	Un homme pâle tenant un crâne. « AUCUN MOBILE. »
25	Un humain à la barbe raffinée avec un symbole de poisson dans le coin. « DISSIMULE DES INFOS. PRUDENCE. »
26	Puis enfin, tu examines la pièce centrale. La magnifique représentation de Dame Sageleaf elle-même.
27	Le croquis est merveilleux. Une représentation de l'amour.
28	Sa dévotion est manifeste dans cette œuvre d'art.
29	Sa note dit : « ENNEMIS ? ESPIONS ? CONSPIRATION DE LA CITÉ ? »
