idx	french
1500	« Oh là. Elles font peur, celles-là. »
1501	« J'aime bien celles-là. »
1502	« À qui le dis-tu. »
1503	Il hoche la tête. « Statistiquement probable, oui. »
1504	« Remarque, c'était après presque deux décennies de femmes naines militant pour le suffrage universel. »
1505	« En quelques années à peine, avec la voix de riches femmes humaines en colère qui hurlaient, écrivaient et protestaient... »
1506	« Le patriarcat du Palais a cédé. »
1507	« Voilà la leçon d'histoire. Mais voici la partie qui me met dans une <i>putain</i> de fureur. »
1508	« Ces riches femmes humaines ? Tu sais ce qu'il leur est arrivé ? »
1509	Il agite la main. « Je vais te le dire. Beaucoup d'entre elles sont aujourd'hui fascistes. Tu imagines ? »
1510	« Elles mènent une campagne incroyable pour obtenir le droit de vote. Pour briser leurs chaînes d'oppression, faire enrager les hommes tyranniques, fracasser le patriarcat, et cetera- tout ça pour finir par jeter leur sort avec cette même idéologie traditionaliste ! »
1511	« Une idéologie qui veut clairement, enfin bien sûr aussi simplement n'avoir aucun vote du tout, mais précisément ne pas laisser voter les femmes ! »
1512	« C'est ridicule. Pourquoi feraient-elles ça ? »
1513	« Elles ont peut-être réalisé leurs erreurs. »
1514	(Hausser les épaules.) « Je comprends pas les femmes. »
1515	« Je me pose la même question ! »
1516	« Quoi, l'erreur de vouloir avoir une voix dans la société ? »
1517	« Bon, deux hommes graisseux ne vont pas résoudre ça, précisément. Mais ça ne m'empêchera pas d'y réfléchir. »
1518	« Une part de moi pense que ça a à voir avec une forme d'opportunisme. »
1519	« Ce sont des femmes dont le temps sous les projecteurs a pris fin une fois obtenu le droit de vote. Soudain toute leur plateforme d'activisme a disparu, du jour au lendemain. »
1520	« Mais malgré tout, pourquoi les Nationalistes ? »
1521	Elles ont réalisé que la patrie a besoin de protection, à coup sûr.
1522	« Peut-être y a-t-il, si tu me permets de spéculer sauvagement, une- une sorte de truc psychosexuel pervers à l'œuvre ici. »
1523	Quoi ? Non. Le nationalisme est une idéologie pure. Il n'y a nul sexe là-dedans.
1524	Propos hautement misogyne. Il pourrait mieux faire.
1525	« Ou c'est simplement une question de classe. C'est probablement ça. Oui, probablement. »
1526	« Ce sont pour la plupart un groupe de riches. Et cela supplanterait logiquement leur identité de femme. »
1527	« Si la position des riches humains dans la société est menacée, elles ont plus à perdre en tant que riches qu'en tant que femmes. »
1528	« C'est un sujet complexe, et j'ai pas le <i>putain</i> de temps d'y réfléchir, même si je meurs d'envie de piger ça. »
1529	« Mais c'est juste quelque chose qui me fascine, tu vois ? »
1530	Le halfelin pérore sur des choses qu'il essaie de comprendre. Il sait captiver un public de cette façon, clairement.
1531	Ses arguments sont quelque part proches de la cohérence.
1532	« Alors, euh... »
1533	Oh oh. Il est sur le point de lâcher une bombe.
1534	« Puis-je le mentionner ? En ai-je le <i>droit</i> ? »
1535	« Tu sais. »
1536	« À propos de ta mère. »
1537	Ta mère ? Oh.
1538	« Oh. Bien sûr, je m'en fiche. »
1539	« Évitons. »
1540	« Non. C'est ma mère. »
1541	Il claque la langue. « Bon. »
1542	« Cool. » Le gobelin te pointe du doigt, tout en disant au halfelin : « Il est apparenté à Helga Hemlin, au fait. »
1543	Ses yeux s'écarquillent. « Oh. Une tante éloignée, peut-être ? »
1544	« Enfin. Il n'est pas souvent que je puisse poser cette question précise. Mais je suis intrigué, alors je vais le faire. »
1545	« Pourquoi ta mère est-elle une <b>fasciste</b> ? »
1546	« ...Tu as déjà eu l'occasion de poser cette question avant ? »
1547	« Aucune idée. Je lui parle pas beaucoup. »
1548	« Pourquoi penses-tu qu'elle en est une ? »
1549	« Il y a une nette possibilité, oui. »
1550	« Dommage ! Si tu le découvres, alors s'il te plaît. »
1551	« Je lis beaucoup. J'ai lu toute son œuvre. »
1552	« Ce n'est pas ma préférée. Mais son dernier ouvrage m'a captivé. »
1553	« Principalement parce qu'elle a clairement tourné sa queue vers le Parti de Norvik. Entièrement. »
1554	« Mais quoi qu'il en soit, si tu découvres <i>pourquoi</i> elle opère ce virage soudain, alors s'il te plaît. »
1555	« Je meurs d'envie de savoir. »
1556	Tu n'en meurs pas d'envie. Évitons ce sujet à l'avenir.
1557	Tu ne parles pas très souvent à ta mère. Encore moins de politique.
1558	« Une épreuve ? »
1559	Il se gratte le nez et lève les yeux en l'air.
1560	« Bah. »
1561	« Ça ne t'intéresse pas ? »
1562	« Si terrible que ça, hein ? »
1563	« Hein ? »
1564	« Intéressé ? Bien sûr que je suis intéressé. »
1565	« Terrible ? Non. Compréhensible. Inévitable. »
1566	« Bah », répète-t-il.
1567	« Ma patrie est une coquille de gens brisés. »
1568	« Les Clans et les miens, surtout ceux coincés sous occupation de l'autre côté de la Ligne Dorée... »
