idx	french
0	« M. le Citadin ! »
1	Tu vois une foule de nains s'affairer à l'intérieur du minuscule appartement.
2	L'odeur de sueur confinée te rappelle cet été passé comme valet de ferme sur la plantation.
3	Le bon temps.
4	D'horribles souvenirs.
5	« Bienvenue au Sanctuaire Azgalien de Tolstad. En abrégé, <i>SAT</i> ! »
6	Nom d'un chien... On dirait qu'ils sont entassés les uns sur les autres.
7	Un appartement rempli de rien d'autre que de volonté naine.
8	Comment font-ils même pour respirer là-dedans ?
9	« Ça ressemble juste à un appartement. »
10	« Quel merveilleux sanctuaire tu as bâti ici. »
11	« ...Bien sûr. J'ai quelques questions à te poser. »
12	Il aspire l'air entre ses dents et regarde autour. « On n'est peut-être pas bien financés comme vous, les gens de la cité. »
13	« Mais on use du peu qu'on a avec une efficacité totale ! »
14	« C'est central. Et c'est petit. »
15	Il aspire l'air entre ses dents et regarde autour. « Mais on use de ce qu'on a avec une efficacité totale ! »
16	« Aux questions on peut répondre. »
17	« Bon, on est très occupés ici, mais je vais t'accorder un peu de notre temps. »
18	« Mais maintenant la question est : que peux-<i>tu</i> faire pour le Parti Ouvrier Azgalien ? »
19	« Oh. C'est vrai. J'y avais pas pensé. »
20	« Tu as quelque chose de particulier en tête ? »
21	« Oui. Donne-moi une quête. Tout de suite. »
22	« Eh bien. Voyons voir... »
23	Le nain inspire profondément entre ses dents.
24	Puis il jette un œil à ses hommes, avant de hocher lentement la tête.
25	« On n'a rien besoin de particulier là. »
26	« Quoi ? Non... » (Désespoir.)
27	« Rien du tout ? »
28	« Bien. Alors j'ai quelques questions. »
29	« J'ai cinq hommes sur les Docks de Waterlane. Je prépare des discours et je supervise la distribution d'affiches. Tout ça en préparation de la Grande Marche, la veille du jour de l'élection. »
30	Il a l'air de penser à plusieurs autres choses qu'il devrait être en train de faire là.
31	Il essaie de te faire croire qu'il est occupé. Il est peut-être aussi <i>vraiment</i> occupé. Mais quand même.
32	« Alors pas de vrai besoin d'un clerc lanceur de sorts ici, j'en ai peur. »
33	« Soit. »
34	« C'est comme ça. Les élections se gagnent par l'organisation et la presse. »
35	« Pas la magie. Ce temps-là est révolu depuis longtemps. »
36	Un sot parle de choses qu'il ne comprend pas.
37	ÇA REFLUE. PUIS ÇA AFFLUE.
38	Si tu souhaites les aider, ne propose pas un clerc. À la place... propose ton assistance pour leur impression.
39	Parle avec Modissa.
40	« M. le Citadin. De retour. »
41	« À qui est cet appartement ? »
42	« Je veux en savoir plus sur toi, Alfoz. »
43	« Et si j'étais là pour mettre fin à toute cette opération ? »
44	E-« Ce sera tout pour l'instant. Merci, citoyen. »
45	« Simii a eu la gentillesse de nous prêter l'usage de son foyer jusqu'à l'élection. On te remercie, Simii ! »
46	Tu entends une voix à l'arrière. « Pas de problème, Contremaître ! »
47	« Ah bon ? »
48	Son visage se raidit.
49	Il est choqué.
50	Il réalise quelque chose.
51	« Une... elfe, dis-tu. »
52	« Morte. »
53	(Le fixer.)
54	« Mm-hmm », articule-t-il dans ta direction tout en balayant la pièce du regard.
55	Il ne croise pas ton regard.
56	Le nain flanche.
57	Il sait quelque chose. Tu le lis comme un livre ouv-
58	Pas maintenant. On est au milieu d'un truc.
59	« Dis-moi ce que tu sais, Alfoz. »
60	(Rester silencieux jusqu'à ce qu'il craque.)
61	« L'elfe... était-elle... »
62	« Dans le feu. Ouais. »
63	« Mais pourquoi n'ont-ils pas... »
64	« Ils n'ont pas regardé comme il faut. Tu sais comment c'est. »
65	« Mm. »
66	« C'est regrettable. »
67	Tu vois Modissa te lancer un regard, écoutant la conversation d'un air profondément renfrogné.
68	« Pinja'Athena était une amie du mouvement. Je soupçonnais qu'elle serait impliquée là-dedans, d'une façon ou d'une autre. »
69	« Mais... »
70	Le nain ferme les yeux.
71	Des années de labeur laissent leur marque.
72	Soudain, il fait tout à fait son âge.
73	« J'espérais qu'elle avait simplement quitté la cité. »
74	« Qui était-elle ? »
75	« Pour qui travaillait-elle ? »
76	M-« Alors quoi, elle était secrètement une Azgaliste ? »
77	« Une elfe illym. Un étrange mélange, je te l'accorde. »
78	« Mais elle était gentille. » Il détourne le regard en le disant.
79	« Elle-même, d'après ce que je comprends. <i>Comprenais</i>. »
80	« Officiellement elle était liée à l'Ambassade Illym, ou peu importe comment ils l'appellent. »
81	« <i>L'Émissariat</i>. »
82	« C'est ça. »
83	« Je n'irais pas jusque-là. »
84	« Mais elle... <i>aidait</i>. »
85	« Quoi qu'elle fût, elle partageait des informations toujours utiles. »
86	« Des informations ? »
87	« Alors c'était une relation transactionnelle ? »
88	« Ouais. Elle t'a très probablement roulé. »
89	Il sourit en coin, un sourire narquois. « Non, M. le Citadin. »
90	« Ou si ça l'était, c'était très déséquilibré, vu qu'on n'a jamais rien fait pour elle. »
91	« Roulé ? Ah, tu veux dire un jeu d'intrigue. »
92	« Peut-être, M. le Citadin ! Mais si oui, elle y était plutôt mauvaise, vu qu'on n'a jamais rien fait pour elle. »
93	« Elle me disait des choses, chaque fois que je la voyais. Des messages interceptés parfois. Des leviers à utiliser dans les conflits sociaux. »
94	« Des affaires au Palais. Des chiffres de sondage, avant leur publication. Une opposition qui n'avait pas encore frappé. »
